Participant_id,Duration,Group,Test,Test_Score,is_val
1,283,1.0,TEST_S1_P_1,50.0,0
6,342,1.0,TEST_S1_P_1,74.0,0
7,337,1.0,TEST_S1_P_1,100.0,0
11,401,1.0,TEST_S1_P_1,50.0,0
12,383,1.0,TEST_S1_P_1,76.0,0
14,428,1.0,TEST_S1_P_1,50.0,0
16,455,1.0,TEST_S1_P_1,50.0,0
17,423,1.0,TEST_S1_P_1,50.0,0
19,470,1.0,TEST_S1_P_1,50.0,0
20,445,1.0,TEST_S1_P_1,50.0,0
21,371,1.0,TEST_S1_P_1,50.0,0
22,429,1.0,TEST_S1_P_1,50.0,0
25,460,1.0,TEST_S1_P_1,85.0,0
26,434,1.0,TEST_S1_P_1,100.0,0
30,494,1.0,TEST_S1_P_1,71.0,0
33,395,1.0,TEST_S1_P_1,36.0,0
34,461,1.0,TEST_S1_P_1,36.0,0
40,521,1.0,TEST_S1_P_1,50.0,0
45,445,1.0,TEST_S1_P_1,100.0,0
47,524,1.0,TEST_S1_P_1,50.0,0
50,538,1.0,TEST_S1_P_1,66.0,0
58,317,1.0,TEST_S1_P_1,50.0,0
59,606,1.0,TEST_S1_P_1,60.0,0
63,531,1.0,TEST_S1_P_1,63.0,0
72,647,1.0,TEST_S1_P_1,72.0,0
74,560,1.0,TEST_S1_P_1,50.0,0
93,619,1.0,TEST_S1_P_1,50.0,0
95,616,1.0,TEST_S1_P_1,50.0,0
98,566,1.0,TEST_S1_P_1,50.0,0
99,464,1.0,TEST_S1_P_1,50.0,0
100,504,1.0,TEST_S1_P_1,36.0,0
103,453,1.0,TEST_S1_P_1,94.0,0
104,388,1.0,TEST_S1_P_1,50.0,0
106,514,1.0,TEST_S1_P_1,50.0,0
110,479,1.0,TEST_S1_P_1,22.0,0
111,603,1.0,TEST_S1_P_1,35.0,0
113,393,1.0,TEST_S1_P_1,25.0,0
116,570,1.0,TEST_S1_P_1,50.0,0
119,401,1.0,TEST_S1_P_1,50.0,0
125,801,1.0,TEST_S1_P_1,100.0,0
137,528,1.0,TEST_S1_P_1,50.0,0
140,540,1.0,TEST_S1_P_1,50.0,0
141,460,1.0,TEST_S1_P_1,70.0,0
149,483,1.0,TEST_S1_P_1,50.0,0
152,597,1.0,TEST_S1_P_1,100.0,0
154,883,1.0,TEST_S1_P_1,50.0,0
158,604,1.0,TEST_S1_P_1,54.0,0
159,425,1.0,TEST_S1_P_1,50.0,0
160,781,1.0,TEST_S1_P_1,100.0,0
162,624,1.0,TEST_S1_P_1,100.0,0
163,514,1.0,TEST_S1_P_1,82.0,0
173,816,1.0,TEST_S1_P_1,0.0,0
175,982,1.0,TEST_S1_P_1,79.0,0
176,888,1.0,TEST_S1_P_1,50.0,0
182,983,1.0,TEST_S1_P_1,100.0,0
183,583,1.0,TEST_S1_P_1,0.0,0
184,815,1.0,TEST_S1_P_1,50.0,0
191,886,1.0,TEST_S1_P_1,90.0,0
197,1048,1.0,TEST_S1_P_1,100.0,0
198,382,1.0,TEST_S1_P_1,50.0,0
205,349,1.0,TEST_S1_P_1,50.0,0
207,971,1.0,TEST_S1_P_1,70.0,0
214,500,1.0,TEST_S1_P_1,51.0,0
217,543,1.0,TEST_S1_P_1,45.0,0
219,1061,1.0,TEST_S1_P_1,50.0,0
223,596,1.0,TEST_S1_P_1,50.0,0
228,1008,1.0,TEST_S1_P_1,50.0,0
230,364,1.0,TEST_S1_P_1,100.0,0
236,873,1.0,TEST_S1_P_1,50.0,0
237,859,1.0,TEST_S1_P_1,50.0,0
238,652,1.0,TEST_S1_P_1,90.0,0
246,690,1.0,TEST_S1_P_1,50.0,0
247,447,1.0,TEST_S1_P_1,79.0,0
248,890,1.0,TEST_S1_P_1,50.0,0
249,656,1.0,TEST_S1_P_1,50.0,0
251,682,1.0,TEST_S1_P_1,17.0,0
255,404,1.0,TEST_S1_P_1,50.0,0
260,646,1.0,TEST_S1_P_1,49.0,0
262,643,1.0,TEST_S1_P_1,50.0,0
267,1157,1.0,TEST_S1_P_1,100.0,0
270,918,1.0,TEST_S1_P_1,90.0,0
